Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo Error	Zr	Zr Error	Sr	Sr Error	U	U Error	Rb	Rb Error	Th	Th Error	Pb	Pb Error	Au	Au Error	Se	Se Error	As	As Error	Hg	Hg Error	Zn	Zn Error	W	W Error	Cu	Cu Error	Ni	Ni Error	Co	Co Error	Fe	Fe Error	Mn	Mn Error	Cr	Cr Error	V	V Error	Ti	Ti Error	Sc	Sc Error	Ca	Ca Error	K	K Error	S	S Error	Nd	Nd Error	Pr	Pr Error	Ce	Ce Error	La	La Error	Ba	Ba Error	Sb	Sb Error	Sn	Sn Error	Cd	Cd Error	Pd	Pd Error	Ag	Ag Error	Bal	Bal Error	Nb	Nb Error	Y	Y Error	Bi	Bi Error	Re	Re Error	Ta	Ta Error	Hf	Hf Error	Al	Al Error	P	P Error	Si	Si Error	Cl	Cl Error	Mg	Mg Error	MgO	MgO Error	Al2O3	Al2O3 Error	SiO2	SiO2 Error	P2O5	P2O5 Error	K2O	K2O Error	CaO	CaO Error	TiO2	TiO2 Error	MnO	MnO Error	Fe2O3	Fe2O3 Error	Cs	Cs Error	Te	Te Error
787	787	12/12/2019 09:10	TestAll Geo	123.17	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.64	<LOD	2	<LOD	1.26	<LOD	3.29	<LOD	1.36	<LOD	2.45	<LOD	3.28	<LOD	4.65	<LOD	2.51	<LOD	2.74	<LOD	7.1	<LOD	6.04	87.4	26.1	<LOD	11.75	34.21	17.84	<LOD	14.17	42.1	19.58	54.6	28.74	<LOD	6.12	<LOD	5.5	<LOD	13.2	<LOD	2.94	25.53	8.76	697.39	176.86	<LOD	64.29	102.67	54.41	76.96	38.47	<LOD	47.09	<LOD	46.42	194.7	16.15	46.31	7.04	26.69	5.9	19.22	4.45	4.76	2.21	<LOD	3.57	567613.5	1695.04	<LOD	1.5	<LOD	1.5	<LOD	14.82	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	1206.28	889.03	224.27	428058.09	3045.88	1197.45	34.44	<LOD	2053.02	<LOD	0	<LOD	0	916044.38	0	2035.88	0	843.84	0	35.74	0	<LOD	0	70.43	0	60.2	0	122.55	8.72	61.07	8.03
788	788	12/12/2019 09:12	TestAll Geo	120.15	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.61	<LOD	1.94	<LOD	1.25	<LOD	3.33	<LOD	1.32	<LOD	2.34	<LOD	3.21	<LOD	4.65	<LOD	2.46	<LOD	2.65	<LOD	6.87	<LOD	6.13	57.7	25.29	<LOD	11.63	51.49	17.84	<LOD	14.05	46.73	19.38	67.6	28.42	<LOD	6.08	<LOD	5.27	<LOD	12.59	<LOD	2.9	26.28	8.81	668.18	170.61	<LOD	67.31	156.79	54.59	75.15	38.29	<LOD	65.79	63.03	30.9	198.87	16.15	46.26	7.01	25.56	5.88	13.08	4.35	4.41	2.2	<LOD	3.63	557146.75	1676.6	<LOD	1.5	<LOD	1.5	<LOD	17.51	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	1051.95	755.55	256.78	438484.13	3048.2	1199.14	38.46	<LOD	2294.78	<LOD	0	<LOD	0	938356.06	0	1730.2	0	808.49	0	36.79	0	<LOD	0	87.2	0	66.82	0	119.56	8.69	53.97	7.95
789	789	12/12/2019 09:15	TestAll Geo	121.88	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.61	<LOD	1.95	<LOD	1.28	<LOD	3.22	<LOD	1.26	<LOD	2.25	<LOD	3.07	<LOD	4.73	<LOD	2.46	<LOD	2.71	<LOD	7.06	<LOD	5.81	<LOD	19.19	<LOD	16.8	57.77	18.18	<LOD	14.36	40.25	19.34	56.08	28.29	<LOD	6.16	<LOD	5.21	<LOD	12.4	<LOD	2.91	23.4	8.63	678.46	168.53	<LOD	67.65	138.2	54.04	97.34	38.15	<LOD	46.23	67.92	30.67	202	16.06	42.12	6.93	26.19	5.86	17.49	4.39	5.18	2.2	<LOD	3.66	566043.13	1681.49	<LOD	1.5	<LOD	1.5	<LOD	13.87	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	884.92	802.88	237.03	429599.91	3033.9	1176.17	35.85	<LOD	2198.31	<LOD	0	<LOD	0	919343.88	0	1838.61	0	820.93	0	32.76	0	<LOD	0	72.34	0	57.55	0	109.3	8.58	50.55	7.87
790	790	12/12/2019 09:17	TestAll Geo	121.56	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.58	<LOD	1.95	<LOD	1.28	<LOD	3.16	<LOD	1.27	<LOD	2.36	<LOD	3.13	<LOD	4.6	<LOD	2.46	<LOD	2.59	<LOD	7.1	<LOD	5.95	83.53	25.78	<LOD	11.55	49.77	17.54	<LOD	14.21	58.14	19.57	<LOD	41.4	<LOD	6.07	<LOD	5.21	<LOD	12.27	<LOD	2.93	29.9	8.84	531.88	146.62	<LOD	67.4	<LOD	71.96	67.06	34.03	<LOD	39.83	42.69	27.41	193.59	16.54	42.28	7.15	24.71	6.03	13.88	4.47	4.27	2.25	<LOD	3.71	600716.69	1620.37	<LOD	1.5	<LOD	1.5	<LOD	14.63	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	998.6	716.95	219.87	395923.53	3052.61	1036.14	33.17	<LOD	2817.71	<LOD	0	<LOD	0	847276.38	0	1641.81	0	643.57	0	41.86	0	<LOD	0	48.89	0	83.13	0	112.41	8.88	55.3	8.17
791	791	12/12/2019 09:19	TestAll Geo	122.38	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.7	<LOD	1.97	<LOD	1.31	<LOD	3.2	<LOD	1.28	<LOD	2.44	<LOD	3.4	<LOD	4.75	<LOD	2.55	<LOD	2.76	<LOD	7.19	<LOD	5.89	87.76	26.46	<LOD	12.09	40.96	17.96	<LOD	14.01	39.48	19.57	83.96	29.66	<LOD	6.11	<LOD	5.25	<LOD	12.49	<LOD	2.93	138.65	49.94	735.43	170.28	<LOD	66.02	<LOD	83.95	87.36	39.77	<LOD	78.46	60.21	32.02	201.49	16.67	40.51	7.17	26.02	6.07	17.36	4.55	5.82	2.3	<LOD	3.75	560440.88	1706.92	<LOD	1.5	<LOD	1.5	<LOD	15.05	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	1276.49	1015.43	239.84	435319.06	3251.46	1239.48	37.05	<LOD	3334.93	<LOD	0	<LOD	0	931582.81	0	2325.33	0	889.87	0	194.1	0	<LOD	0	108.31	0	56.46	0	118.3	8.95	57.01	8.23
792	792	12/12/2019 09:22	TestAll Geo	121.73	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.7	<LOD	2.01	<LOD	1.27	<LOD	3.27	<LOD	1.31	<LOD	2.42	<LOD	3.1	<LOD	4.61	<LOD	2.47	<LOD	2.63	<LOD	7.14	<LOD	6.09	48.45	25.36	<LOD	11.66	55.47	18.35	<LOD	14.25	36.63	19.41	49.88	28.64	<LOD	6.12	<LOD	5.29	<LOD	12.45	<LOD	2.93	113.51	50.07	633.66	171.53	<LOD	66.46	158.12	54.61	<LOD	57.25	<LOD	46.62	54.81	30.86	204.15	16.1	39.38	6.9	27.51	5.88	12.16	4.31	<LOD	3.18	<LOD	3.65	560420.56	1711.96	<LOD	1.5	<LOD	1.5	<LOD	16.91	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	924.22	1095.48	235.37	435370.28	3248.9	1233.52	36.32	<LOD	2076.32	<LOD	0	<LOD	0	931692.44	0	2508.64	0	766.73	0	158.91	0	<LOD	0	64.35	0	52.37	0	114.15	8.62	53.68	7.91
793	793	12/12/2019 09:24	TestAll Geo	122.62	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.7	<LOD	2	<LOD	1.28	<LOD	3.35	<LOD	1.38	<LOD	2.49	<LOD	3.33	<LOD	4.75	<LOD	2.49	<LOD	2.78	<LOD	7.27	<LOD	6.03	77.9	26.56	<LOD	12.11	50.34	18.06	<LOD	14.82	61.56	20.34	60.65	29	<LOD	6.09	<LOD	5.31	<LOD	12.95	<LOD	2.64	29.61	8.95	578.38	148.43	634.95	34.07	106.1	46.82	64.91	33.01	<LOD	40.03	52.06	26.64	190.79	16.03	42.8	6.95	21.11	5.79	15.04	4.36	5.4	2.21	<LOD	3.55	602387.5	1658.84	<LOD	1.5	<LOD	1.5	<LOD	15.77	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	882.56	874.35	200.53	393623.69	2952.68	1032.64	30.36	<LOD	2486.82	<LOD	0	<LOD	0	842354.75	0	2002.27	0	699.84	0	41.45	0	<LOD	0	78.24	0	88.03	0	113.02	8.62	52.63	7.9
794	794	12/12/2019 09:27	TestAll Geo	121.53	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.66	<LOD	1.97	<LOD	1.29	<LOD	3.16	<LOD	1.3	<LOD	2.35	<LOD	3.11	<LOD	4.92	<LOD	2.45	<LOD	2.59	<LOD	6.97	<LOD	6.23	<LOD	19.27	<LOD	11.86	<LOD	26.49	<LOD	14.17	45.97	19.73	55.18	28.72	<LOD	6.14	<LOD	5.28	<LOD	12.62	<LOD	2.72	26.33	8.76	653.26	169.61	<LOD	68.31	142.88	56.35	99.65	39.76	<LOD	48.16	67.82	31.96	191.04	16.69	46.51	7.27	24.46	6.08	13.58	4.51	4.52	2.28	<LOD	3.76	558854.88	1727.02	<LOD	1.5	<LOD	1.5	<LOD	15.18	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	1073.5	1021.46	233.47	434097.94	3206.27	1215.48	35.8	2849.37	1598.09	4729.95	0	<LOD	0	928969.63	0	2339.14	0	790.45	0	36.87	0	<LOD	0	71.19	0	65.73	0	112.71	8.98	51.73	8.22
795	795	12/12/2019 09:29	TestAll Geo	122.23	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	2.64	<LOD	1.98	<LOD	1.27	<LOD	3.19	<LOD	1.33	<LOD	2.23	<LOD	3.28	<LOD	4.66	<LOD	2.43	<LOD	2.64	<LOD	7.07	<LOD	6.37	60.44	25.56	<LOD	12.05	34.4	17.88	16.83	9.9	29.13	19.29	84.05	29.97	<LOD	6.17	<LOD	5.39	<LOD	12.95	<LOD	2.73	150.73	49.77	730.93	169.45	<LOD	64.58	105.97	53.59	77.88	37.88	<LOD	55.84	54.71	30.51	214.17	16.37	44.86	7.05	31.61	6.01	11.86	4.36	5.04	2.23	<LOD	3.68	566794.63	1706.36	<LOD	1.5	<LOD	1.5	<LOD	11.45	<LOD	1.5	<LOD	1.5	<LOD	1.5	896.37	521.29	1096.38	229.78	427670.41	3061.63	1182.05	34.85	<LOD	2442.19	<LOD	0	1694.14	0	915214.69	0	2510.7	0	884.43	0	211.03	0	<LOD	0	108.42	0	41.66	0	117.53	8.75	56.8	8.04
796	796	12/12/2019 09:29	TestAll Geo	9.85	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	silica	teste				<LOD	6.12	<LOD	4.4	<LOD	2.98	<LOD	7.56	<LOD	2.91	<LOD	5.77	<LOD	8	<LOD	11.13	<LOD	5.27	<LOD	6.45	<LOD	15.35	<LOD	13.05	100.69	63.96	<LOD	26.7	<LOD	59.38	<LOD	33.29	<LOD	69.1	<LOD	97.6	<LOD	36139.77	<LOD	24512.14	<LOD	34886.31																			<LOD	35.52	<LOD	37.2	<LOD	30.36	<LOD	26.51	<LOD	31.85	999899.31	1.59	<LOD	3.81	<LOD	1.5	<LOD	28.99	<LOD	1.5	<LOD	1.5	<LOD	1.5											<LOD	0	<LOD	0	<LOD	0	<LOD	0	<LOD	0	<LOD	0	<LOD	0	60.36	0	87.58	0				
797	797	12/12/2019 09:40	TestAll Geo	122.6	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					12.38	2.54	336.25	5.26	101.31	2.99	24.88	5.39	78.98	2.3	41.21	4.07	52.5	5.85	10.08	4.78	<LOD	3.83	99.01	6.37	<LOD	10.66	49.61	8.01	356.47	38.01	287	19.1	87.59	22.13	<LOD	86.32	39755.52	493.3	459.54	48.52	29.07	9.88	92.28	22.46	3979.68	81.04	<LOD	29.47	6006.71	132.64	29496.22	1153.49	2154.27	88.52	493.77	72.35	336.98	50.58	238.01	41.33	243.22	39.86	486.01	21.3	43.98	8.34	41.32	7.26	16.24	5.24	5.83	2.66	<LOD	4.38	539878.56	1987.5	12.03	1.82	2.08	1	<LOD	17.42	<LOD	1.5	<LOD	1.5	<LOD	1.5	73974.75	1883.35	1137.53	235.88	302445.41	4042.23	822.37	46.51	<LOD	4055.69	<LOD	0	139812.28	0	647233.19	0	2604.94	0	35690.43	0	8409.39	0	6646.07	0	592.8	0	56850.39	0	153.01	10.56	46.86	9.42
798	798	12/12/2019 09:44	TestAll Geo	121.9	ppm	2	Final	-3mm 	apa3001-120.01-1	rio salitre	kotaro	rocha					<LOD	300000	39.7	6.31	81.95	6.32	<LOD	300000	7.67	2.59	<LOD	300000	21.63	12.02	<LOD	300000	<LOD	17.99	<LOD	300000	<LOD	300000	<LOD	300000	2323.54	172.24	879.37	78.84	2030.35	144.76	475.17	224.9	22165	1121.98	<LOD	300000	27.8	2.03	6.18	2.15	64.72	6.56	<LOD	5.5	18032.13	1062.71	716.97	29.58	7048.03	481.92	976.33	299.24	535.39	203.41	293.84	163.42	244.49	156.33	1219.44	119.02	216.14	48.79	147.56	41.3	107.57	31.46	26.23	15.33	<LOD	27.86	894668.19	1405.87	<LOD	6.32	<LOD	1.5	<LOD	38.45	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3780.8	2202.84	570.93	27520.2	1781.55	10350.78	440.4	<LOD	21532.96	<LOD	0	<LOD	0	58893.23	0	5044.5	0	867.54	0	25244.97	0	108.07	0	839.38	0	31695.95	0	565.13	60.57	315.01	55.72
799	799	12/12/2019 09:47	TestAll Geo	122.03	ppm	2	Final	-3mm 	apa3001-120.01-2	rio salitre	kotaro	rocha					<LOD	300000	52.16	6.77	63.45	5.71	<LOD	300000	8.23	2.6	<LOD	300000	<LOD	16.84	<LOD	300000	<LOD	14.35	18.36	11.06	<LOD	300000	<LOD	300000	2408.29	181.1	817.4	77.65	1882.62	143.21	573.73	237.9	24281.74	1195.27	<LOD	300000	33.87	2.2	8.1	2.27	96.54	7.06	5.55	3.56	16493.83	1046.78	10018.56	1669.14	6770.49	486.18	964.77	294.05	484.28	198.84	270.54	159.99	245.29	153.76	1250.92	122.52	204.6	49.48	179.71	43.57	104.38	32.03	27.57	15.8	<LOD	27.13	894245.38	1428.88	<LOD	6.27	<LOD	1.5	<LOD	37.53	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3806.56	2817.06	594.49	27119.58	1811.87	10167.63	450.14	<LOD	24226.25	<LOD	0	<LOD	0	58035.91	0	6451.07	0	12122.46	0	23091.36	0	161.22	0	762.5	0	34722.88	0	635.25	63.25	320.96	57.27
800	800	12/12/2019 09:50	TestAll Geo	120.62	ppm	2	Final	-3mm 	apa3001-122.39-1	rio salitre	kotaro	rocha					<LOD	300000	40.17	6.48	41.26	4.94	1.93	1.23	4.76	2.62	<LOD	300000	<LOD	17.61	<LOD	300000	<LOD	12.22	<LOD	300000	<LOD	300000	<LOD	300000	2027.47	176.09	739.78	77.62	1771.26	146.31	<LOD	356.15	21430.33	1208.79	<LOD	300000	24.92	1.89	5.44	2.09	78.33	6.58	4.62	2.62	447.43	16.15	640.15	26.9	5418.34	382.34	761.64	242.45	487.59	167.13	400.51	139.07	272.44	129.04	1241.29	116.62	278.76	49.84	170.69	41.4	98.14	30.19	29.21	15.21	<LOD	27.3	918331.75	1179.73	<LOD	6.69	<LOD	1.5	<LOD	38.93	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2885.41	1953.53	462.99	23717.86	1491.21	7870.79	344.66	<LOD	19167.44	<LOD	0	<LOD	0	50756.22	0	4473.59	0	774.59	0	626.41	0	130.81	0	799.16	0	30645.37	0	612.18	59.74	292.39	53.66
801	801	12/12/2019 09:58	TestAll Geo	121.32	ppm	2	Final	-3mm 	apa3001-122.39-2	rio salitre	kotaro	rocha					<LOD	300000	51.02	5.43	20.64	3.12	<LOD	300000	6.06	2.07	<LOD	300000	15.28	9.4	<LOD	300000	<LOD	10.85	<LOD	13.46	<LOD	300000	<LOD	300000	1685.17	130.43	576.57	57.22	1409.94	111.5	360.72	211.48	39531.45	1058.64	<LOD	300000	51.01	2.77	14.34	3.02	187.32	9.49	<LOD	3.65	295.71	14.82	727.35	30.8	4335.53	314.08	1065.11	245.52	632.98	167.37	396.72	135.99	357.65	128.66	911.39	84.42	184.89	35.56	98.82	28.94	75.39	22.18	22.11	11.14	<LOD	18.22	900312.56	1126.29	8.03	3.67	<LOD	1.5	<LOD	40.76	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2560.55	1591.68	398.1	29078.93	1461.05	6891.56	284.75	<LOD	16284.33	<LOD	0	<LOD	0	62228.91	0	3644.94	0	880.1	0	414	0	312.82	0	793.79	0	56529.97	0	477.35	43.93	225.15	39.58
802	802	12/12/2019 10:02	TestAll Geo	121.01	ppm	2	Final	-3mm 	apa3001-123.16-1	rio salitre	kotaro	rocha					<LOD	300000	<LOD	8.47	256.44	10.16	1.71	1.14	<LOD	300000	<LOD	300000	27.66	11.5	<LOD	300000	<LOD	20.35	<LOD	300000	<LOD	300000	<LOD	300000	1808.5	140.59	595.35	61.01	1418.67	116.91	<LOD	256.38	<LOD	1547.85	<LOD	300000	11.87	1.5	2.73	1.48	<LOD	6.53	<LOD	10.57	56229.89	1900.93	616.06	28.14	5342.42	398.82	889.56	271.92	546.46	186.69	257.7	148.7	310.7	144.83	1221.5	103.41	274.45	44.2	134.14	35.42	89.94	26.38	21.07	12.82	<LOD	24.27	893900.38	1293.7	<LOD	4.52	<LOD	1.5	<LOD	34.68	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3237.88	1714.8	489.45	20924.72	1483.04	7752.2	346.32	<LOD	16674.28	<LOD	0	<LOD	0	44778.89	0	3926.89	0	745.43	0	78721.84	0	7.08	0	813.54	0	2187.71	0	665.36	53.79	356.44	49.63
803	803	12/12/2019 10:04	TestAll Geo	120.1	ppm	2	Final	-3mm 	apa3001-123.16-2	rio salitre	kotaro	rocha					<LOD	300000	<LOD	300000	127.05	6.67	<LOD	1.5	<LOD	300000	<LOD	12.27	20.83	9.93	<LOD	300000	<LOD	14.14	<LOD	300000	<LOD	300000	<LOD	300000	1682.7	130.59	645.48	59.58	1281.3	108.42	<LOD	300000	1905.72	884.85	<LOD	300000	13.12	1.55	3.24	1.4	9.72	3.85	<LOD	7.59	29247.77	1161.54	642.89	27.83	5276.34	363.66	643.93	244.22	481.73	170.45	<LOD	278.21	<LOD	197.28	910.47	93.4	196.2	39.76	128.22	33.71	68.52	24.24	<LOD	16.71	<LOD	23.5	914238.56	1039.19	<LOD	6.19	<LOD	1.5	<LOD	32.2	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2781.62	1505.99	447.77	27892.32	1512.41	8077.34	322.69	<LOD	18212.72	<LOD	0	<LOD	0	59689.57	0	3448.71	0	777.9	0	40946.88	0	16.24	0	574.29	0	2725.19	0	552.72	49.91	294.15	45.93
804	804	12/12/2019 10:08	TestAll Geo	120.49	ppm	2	Final	-3mm 	apa3001-125.43	rio salitre	kotaro	rocha					<LOD	300000	10.58	5.33	103.15	6.82	<LOD	300000	<LOD	300000	14.25	9.44	<LOD	15.94	<LOD	300000	<LOD	16.27	22.42	10.76	<LOD	300000	<LOD	300000	2060.86	161.69	726.12	70.6	1398.49	125.57	<LOD	284.06	6033.81	1074.68	<LOD	300000	15.55	1.66	5.1	1.63	25.93	4.47	<LOD	5.25	15784.04	930.01	618.45	27.41	6026.85	440.02	849.28	272.6	398.25	184.2	<LOD	219.88	267.18	144.6	805.14	90.81	178.5	38.78	105.01	32.19	49.61	23.05	<LOD	17.58	<LOD	20.81	913137.31	1184.03	<LOD	4.95	<LOD	1.5	<LOD	37.17	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3348.81	2357.72	541.11	33105.39	1875.32	9175.27	409.71	<LOD	23101.58	<LOD	0	<LOD	0	70845.53	0	5399.18	0	748.32	0	22097.65	0	43.31	0	616.25	0	8628.35	0	415.96	47.52	214.44	43.26
805	805	12/12/2019 10:12	TestAll Geo	121.8	ppm	2	Final	-3mm 	apa3001-125.43-2	rio salitre	kotaro	rocha					<LOD	300000	22.69	6.79	201.86	10.1	<LOD	300000	<LOD	300000	25.53	10.83	<LOD	17.32	<LOD	300000	<LOD	17.48	19.03	11.1	<LOD	300000	<LOD	300000	2448.42	182.33	846.08	78.83	1806.03	141.35	<LOD	300000	11244.53	1155.26	<LOD	300000	20.37	1.81	4.62	1.83	30.44	5.54	11.97	6.89	60949.91	2160.82	650.15	29.67	6702.93	467	1124.6	312.21	628.46	211.45	396.72	171.79	409.58	163.75	1136.5	120.58	228.48	50.47	116.14	41	85.26	31.02	28.78	15.99	<LOD	29.08	867777.63	1749.79	<LOD	6.54	<LOD	1.5	<LOD	42.56	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	4000.73	2022.04	564.12	24883.25	1691.71	9865.09	415.42	<LOD	24766.2	<LOD	0	<LOD	0	53250.16	0	4630.47	0	786.68	0	85329.88	0	50.83	0	1087.47	0	16079.68	0	589.01	62.7	279.27	56.12
806	806	12/12/2019 10:17	TestAll Geo	120.67	ppm	2	Final	-3mm 	apa3001-127.51-1	rio salitre	kotaro	rocha					<LOD	300000	35.46	5.66	19.63	3.48	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	16.01	<LOD	300000	<LOD	14.36	<LOD	15.29	<LOD	300000	<LOD	300000	2027.66	162.24	768.73	72.6	1629.91	132.08	487.68	227.05	23714.21	1143.77	<LOD	300000	33.23	2.1	5.25	2.13	87.77	6.77	<LOD	2.5	143.87	10.28	631.32	26.65	6132.53	414.58	943.26	280.28	579.55	191.9	315.36	154.21	318.8	147.98	1005.07	106.45	235.95	45.9	123.24	37.36	69.53	27.17	<LOD	19.62	<LOD	25.58	912032.63	1168.13	<LOD	5.89	<LOD	1.5	<LOD	34.64	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3271.75	2116.35	496.59	29269.58	1673.06	8906.52	380.04	<LOD	19178.21	<LOD	0	<LOD	0	62636.89	0	4846.43	0	763.9	0	201.42	0	146.58	0	643.57	0	33911.32	0	525.76	55.6	290.54	51.16
807	807	12/12/2019 10:20	TestAll Geo	122.13	ppm	2	Final	-3mm 	apa3001-127.51-2	rio salitre	kotaro	rocha					<LOD	300000	31.08	5.45	49.84	4.78	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	20.18	21.13	9.85	<LOD	300000	<LOD	300000	1997.89	154.9	950.29	76.52	1818.24	132.13	364.75	214.22	22400.98	1092.28	<LOD	300000	26.57	1.93	5.58	2.06	96.16	6.65	5.84	2.79	514.46	17.04	603.81	26.06	6102.8	409.46	709.66	271.11	401.36	186.18	<LOD	222.27	324.29	147.39	1061.46	104.31	232.82	44.42	145.95	37.13	76.44	26.72	<LOD	19.54	<LOD	24.25	905972	1203.42	<LOD	7.62	<LOD	1.5	<LOD	40.31	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3259.22	2345.87	500.15	30478.35	1679.76	8896.58	370.95	<LOD	19672.26	<LOD	0	<LOD	0	65223.68	0	5372.05	0	730.61	0	720.25	0	160.59	0	737.02	0	32033.4	0	563.64	54.46	314.2	50.31
808	808	12/12/2019 10:24	TestAll Geo	123.65	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	rocha					<LOD	2.72	<LOD	2	<LOD	1.28	<LOD	3.17	<LOD	1.29	<LOD	2.5	<LOD	3.45	<LOD	4.55	<LOD	2.48	<LOD	2.83	<LOD	7.06	<LOD	6.23	<LOD	19.19	<LOD	11.82	33.26	17.97	<LOD	14.2	49.97	20.02	<LOD	42.78	<LOD	6.01	<LOD	5.32	<LOD	12.23	<LOD	2.95	99.52	48.75	582.82	168.39	<LOD	66.74	162.44	53.11	92.26	37.32	45.94	30.19	88.9	30.14	204.71	16.14	42.74	6.95	27.4	5.89	14.65	4.36	5.72	2.22	<LOD	3.63	562630.44	1739.54	<LOD	1.5	<LOD	1.5	<LOD	12.85	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	772.08	1066.59	227.71	430500.41	3215.14	1133.33	34.03	<LOD	2272.36	3530.78	0	1155.65	0	921270.94	0	2442.48	0	705.22	0	139.33	0	6.29	0	50.65	0	71.45	0	120.57	8.67	52.62	7.92
809	809	12/12/2019 10:27	TestAll Geo	121.58	ppm	2	Final	-3mm 	apa3001-129.60-1	rio salitre	kotaro	rocha					<LOD	6.82	37.63	5.73	39.32	4.39	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	24.54	<LOD	14.78	<LOD	300000	<LOD	300000	1928.13	156.34	773.07	71.39	1691.04	130.73	399.49	216.84	21366.96	1109.33	<LOD	300000	30.71	2.06	6.36	2.07	72.53	6.34	<LOD	4.1	501.93	17.15	618.27	26.78	6400.46	449.56	1015.09	287.61	561.64	195.1	436.1	161.15	343.7	150.89	1137.7	111.54	227.01	46.51	129.16	38.37	72	27.88	25.57	14.46	<LOD	25.83	908719.25	1189.23	<LOD	7.69	<LOD	1.5	<LOD	34.08	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3608.71	2156.56	540.68	27121.71	1719.41	9632.17	413.31	<LOD	23922.15	<LOD	0	<LOD	0	58040.47	0	4938.53	0	748.11	0	702.7	0	121.12	0	742.16	0	30554.76	0	568.05	57.43	273.89	51.68
810	810	12/12/2019 10:30	TestAll Geo	120.11	ppm	2	Final	-3mm 	apa3001-129.60-2	rio salitre	kotaro	rocha					<LOD	300000	66.85	6.91	21.74	3.67	<LOD	300000	<LOD	3.2	<LOD	300000	21.07	11.8	<LOD	300000	<LOD	16.2	<LOD	300000	<LOD	300000	<LOD	300000	2311.81	173.27	804.68	75.53	1924.99	141.1	388.99	233.4	26206.96	1183.75	<LOD	300000	43.99	2.32	5.81	2.24	132.55	7.51	<LOD	3.11	262.05	12.88	631.91	26.63	6833.38	492.84	1053.32	295.01	595.44	200.32	454.61	165.29	320.35	153.92	1362.98	125.32	266.68	51.87	156.18	42.74	85.02	30.98	37.55	16.75	<LOD	27.46	905115.81	1267.35	10.43	4.39	<LOD	1.5	<LOD	36.89	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3817.75	2522.44	592.66	26947.43	1830.69	9973.05	451	<LOD	24634.36	<LOD	0	<LOD	0	57667.51	0	5776.38	0	764.61	0	366.86	0	221.36	0	657.87	0	37475.95	0	673.29	64.17	347.14	58.33
